STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TEMP
95740099999,"GUNNEDAH AIRPORT AWS, AS",-30.95,150.25,263.0,69.9
94911099999,"YANAKIE, AS",-38.8,146.2,13.9,67.1
94886099999,"POUND CREEK, AS",-38.6333333,145.8108333,3.6,67.5
95292099999,"SOUTH JOHNSTONE EXPERIMENTAL STATION, AS",-17.6,146.0,19.0,79.1
94833099999,"MOUNT WILLIAM, AS",-37.3,142.6,1150.0,61.2
94951099999,"DUNALLEY STROUD POINT, AS",-42.9,147.7833333,12.7,61.1
94768099999,"SYDNEY OBSERVATORY HILL, AS",-33.85,151.2,40.0,65.1
94846099999,"AIREYS INLET, AS",-38.45,144.1,95.0,64.6
95370099999,"WILLIAMSON, AS",-22.47,150.18,28.0,80.2
94171099999,"WEIPA, AS",-12.678611,141.925278,19.2,80.1
94332099999,"MOUNT ISA, AS",-20.663889,139.488611,341.68,84.3
94637099999,"KALGOORLIE BOULDER, AS",-30.789444,121.461667,366.67,78.3
94672099999,"ADELAIDE INTERNATIONAL, AS",-34.945,138.530556,6.09,72.2
94109099999,"MURGANELLA AIRSTRIP, AS",-11.55,132.9266667,11.5,82.3
94755099999,"CAMDEN, AS",-34.040278,150.687222,70.1,63.7
94715099999,"FORBES AIRPORT, AS",-33.3666666,147.9166666,231.0,68.2
94131099999,"TINDAL, AS",-14.521111,132.377778,135.02,84.8
94820099999,"NARACOORTE AERODROME, AS",-36.9833333,140.7333333,50.0,77.5
94860099999,"KILMORE GAP, AS",-37.3833333,144.9666666,528.0,67.2
95836099999,"TATURA INST SUSTAINABLE AG, AS",-36.4333333,145.2666666,114.0,68.5
94702099999,"HAY AIRPORT AWS, AS",-34.5333333,144.8333333,92.0,74.5
94595699999,"TELFER, AS",-21.715,122.228611,295.65,94.0
95726099999,"ORANGE AIRPORT, AS",-33.3833333,149.1333333,948.0,54.7
94450099999,"LEONORA AERO, AS",-28.8833333,121.3166666,370.0,91.3
95121099999,"MIDDLE POINT AWS, AS",-12.6,131.3,15.0,83.5
95662099999,"MINNIPA DPI, AS",-32.85,135.15,166.0,72.9
95758099999,"SCONE AIRPORT, AS",-32.0333333,150.8333333,223.0,62.7
94476099999,"OODNADATTA AIRPORT, AS",-27.55,135.45,117.0,91.8
94929099999,"BOMBALA AWS, AS",-37.0,149.2333333,762.0,54.5
94977099999,"HARTZ MOUNTAINS, AS",-43.2,146.7666666,830.0,50.5
94969099999,"LAUNCESTON TI TREE BEND, AS",-41.4166666,147.1166666,5.0,64.3
94881099999,"EILDON FIRE TOWER, AS",-37.2166666,145.8333333,638.0,64.4
95718099999,"COONAMBLE AIRPORT, AS",-30.9833333,148.3833333,182.0,72.8
94859099999,"REDESDALE, AS",-37.0166666,144.5333333,290.0,69.5
95670099999,"RAYVILLE PARK, AS",-33.7833333,138.2166666,109.0,75.8
94398099999,"BLACKWATER, AS",-23.603056,148.806944,200.25,78.9
94110099999,"OENPELLI AIRPORT, AS",-12.3333333,133.0072222,9.1,81.0
94776099999,"WILLIAMTOWN, AS",-32.795,151.834444,9.44,66.0
95369099999,"ST LAWRENCE, AS",-22.35,149.5166666,10.0,78.8
95981099999,"ST HELENS AERODROME, AS",-41.3333333,148.2666666,49.0,59.2
94763099999,"PENRITH, AS",-33.7166666,150.6833333,25.0,64.0
94943099999,"NERRIGA AWS, AS",-35.1166666,150.0833333,625.6,56.4
95761099999,"HOLSWORTHY AERODROME AWS, AS",-33.9833333,150.95,68.8,64.1
94782099999,"GOSFORD AWS, AS",-33.4333333,151.3666666,7.0,65.8
94337099999,"JULIA CREEK, AS",-20.6666666,141.7333333,124.0,80.8
